Sample;D2004-3;D2004-4;D2004-5;D2004-11;D2004-12;D2004-13
SiO2;49,36;57,46;58,24;48,95;52,59;62,19
Al2O3;17,67;18,15;16,61;17,37;18,70;18,26
MgO;6,62;2,99;4,28;6,91;4,19;2,98
CaO;8,66;7,15;7,25;9,37;8,40;6,41
MnO;0,17;0,10;0,10;0,17;0,14;0,10
TiO2;1,83;0,85;0,79;1,57;1,15;0,66
Fe2O3;11,17;6,77;6,32;10,61;8,87;5,93
FeO;10,05;6,09;5,69;9,55;7,98;5,33
Na2O;4,16;3,87;3,78;3,63;3,76;4,16
K2O;0,62;1,35;1,81;0,65;0,89;1,88
P2O5 ;0,37;0,18;0,18;0,29;0,22;0,24
Sr;436,03;502,54;464,15;449,27;531,39;465,70
Ba;310,22;573,85;982,05;187,00;1594,85;542,60
Total;100,2;98,7;99,1;99,2;98,7;102,5
Na2O+K2O;4,78;5,22;5,59;4,28;4,65;6,04
